transaction_id user_id card_number amount description transaction_type vendor
0 13 336491763777 108.33 description Rent Cozy
1 23 869446106400 187.61 description Other TraderJoes
2 8 904970764421 71.46 description Dining UberEats
3 34 586434084960 37.62 description Leisure Ebay
4 3 339284521297 145.37 description Dining UberEats
5 54 732863511968 193.69 description Rent PayLease
6 10 039783002503 105.73 description Transportation Lyft
7 94 526962516472 175.26 description Other WholeFoods
8 65 672469331735 21.51 description Rent RadPad
9 49 565614026424 47.33 description Transportation NYCTLC
10 4 155864245999 137.76 description Transportation MTA
11 74 234138621960 57.13 description Transportation Lyft
12 91 742885863160 101.58 description Other Costco
13 17 311371103902 199.15 description Leisure Amazon
14 76 928567059021 145.12 description Leisure Walmart
15 73 344467141431 141.19 description Other CVS
16 3 626684580182 130.08 description Dining Seamless
17 18 027281653847 153.3 description Rent PayLease
18 37 876746044845 36.14 description Other Walgreens
19 53 861512032262 39.62 description Leisure Target
20 16 894530128885 63.05 description Transportation Uber
21 93 367152131438 17.05 description Dining DoorDash
22 54 362165297822 105.22 description Rent RadPad
23 84 894276397625 76.35 description Transportation Lyft
24 77 148316896472 123.24 description Leisure Apple
25 26 725797772306 44.14 description Transportation Lyft
26 90 088111888084 187.87 description Transportation MTA
27 6 874862563160 67.98 description Leisure Walmart
28 88 904786103694 150.63 description Other Costco
29 67 949125425869 2.46 description Transportation Lyft
30 37 193333503293 34.51 description Rent PayLease
31 10 306150690671 26.99 description Leisure Amazon
32 70 124879714923 134.14 description Rent ClickPay
33 57 961828148004 139.64 description Transportation MTA
34 13 549450901059 24.07 description Dining GrubHub
35 63 008432834344 5.52 description Transportation Uber
36 32 990194143972 45.8 description Other TraderJoes
37 40 586726073613 37.69 description Rent PayLease
38 82 588671740861 127.14 description Rent PayLease
39 57 478830033342 6.61 description Leisure Apple
40 57 095447044075 103.41 description Dining UberEats
41 41 753748462968 9.7 description Dining Seamless
42 20 119292482361 136.55 description Transportation NYCTLC
43 2 398387490161 13.14 description Other HomeDepot
44 20 978032849404 57.33 description Leisure Apple
45 12 767254765607 164.5 description Transportation Lyft
46 40 338169975862 9.0 description Other Costco
